point,altitude_ft,freestream_mach,rpm,thrust_lbf,mass_flow_kg_s,t4_degR,inlet_area_m2,compressor_exit_area_m2,impeller_diameter_m,
DESIGN,0,0.1,100000,224.8076261,1.573597943,2200.05,0.007646401,0.059091683,0.27429522,
OD0,200,0.1,98571.6862,202.1945985,1.524269425,2075.67,0.007646401,0.059091683,0.27429522,
OD1,200,0.125,98773.36764,202.9526009,1.533177977,2093.669974,0.007646401,0.059091683,0.27429522,
OD2,200,0.15,99167.34296,205.1593837,1.548754037,2111.67,0.007646401,0.059091683,0.27429522,
OD3,200,0.175,99460.13356,207.1925003,1.563121067,2129.67,0.007646401,0.059091683,0.27429522,
OD4,200,0.2,99520.17299,207.967613,1.571271872,2147.67,0.007646401,0.059091683,0.27429522,
OD5,200,0.225,99641.21013,209.3352455,1.582199964,2165.670003,0.007646401,0.059091683,0.27429522,
OD6,200,0.25,99969.1362,211.9687082,1.600547034,2183.669991,0.007646401,0.059091683,0.27429522,
OD7,200,0.275,100233.4724,214.2331754,1.617849273,2200.049993,0.007646401,0.059091683,0.27429522,
OD8,200,0.3,100292.8462,213.6761768,1.629858561,2200.05,0.007646401,0.059091683,0.27429522,
